D0_num_points,D0_total_persistence,D0_mean_persistence,D0_variance_persistence,D0_max_persistence,D0_min_persistence,D1_num_points,D1_total_persistence,D1_mean_persistence,D1_variance_persistence,D1_max_persistence,D1_min_persistence,D2_num_points,D2_total_persistence,D2_mean_persistence,D2_variance_persistence,D2_max_persistence,D2_min_persistence,Name,Topological Net
55,2308.917610548513,41.980320191791144,0.0026238376392701854,42.141195140625,41.95952863644028,176,2222.474516258815,12.627696115106904,370.0638164674801,41.94715481797931,1.82084792754722e-06,128,614.3754886477658,4.79980850506067,153.7129989186995,41.901067977698375,1.8014503382346447e-06,str_m1_o1_o4_pcu_sym.35,pcu
55,2313.0958263275297,42.056287751409634,0.0011230773715355542,42.162263096256254,42.04569021692498,85,2227.64305883687,26.20756539808082,414.6933772079609,42.04569021692501,1.8054131629696712e-05,56,615.9950081376988,10.999910859601766,285.0801398527098,42.00673519730668,4.51768693210397e-06,str_m1_o1_o4_pcu_sym.8,pcu
55,2461.331916845018,44.75148939718215,89.7319992631975,74.70667810650625,41.74075811148023,176,2204.7227616180535,12.52683387282985,364.17008217710435,41.80389568932273,5.712479378416901e-10,60,625.0397188059676,10.417328646766126,268.7043013296698,41.41769873549123,0.00012321553072069946,str_m1_o1_o2_pcu_sym.21,pcu
55,2316.014105662313,42.10934737567842,4.3587554805750123e-05,42.130225008400004,42.10725961240625,85,2228.3988195124493,26.216456700146463,414.9689042242256,42.10725961240627,0.0003231859743948462,56,614.3072302821106,10.969771969323403,284.1269359102729,41.94244551759314,8.066019788088852e-05,str_m1_o1_o4_pcu_sym.104,pcu
55,2306.5109144286794,41.93656208052144,0.0013410209464647617,41.99659252362599,41.912093342025,176,2214.33274602589,12.581436056965286,367.3421892295286,41.81773622262813,1.6973032757050532e-06,48,611.5015790531148,12.739616230273226,306.13675712482177,41.812291718693785,4.925655906617976e-05,str_m1_o1_o4_pcu_sym.106,pcu
55,2475.8846610476257,45.016084746320466,87.26814471150341,74.557266969025,42.06196652405001,53,2229.284225774651,42.06196652405002,2.0194839173657902e-28,42.06196652405001,42.06196652405001,20,635.9741735861116,31.798708679305584,158.00169238156283,42.061966524050035,16.403821912188903,str_m1_o1_o2_pcu_sym.22,pcu
55,2682.7679047064285,48.77759826738961,455.7170338926882,116.28441142562502,42.02126570990558,176,2227.1802792359413,12.654433404749666,371.63333898328625,42.0368773250637,2.3874235921539366e-12,56,646.490774986283,11.544478124755054,290.18887676745766,42.013811449554225,2.323295689166116e-07,str_m1_o1_o3_pcu_sym.170,pcu
55,2475.8846610476257,45.016084746320466,87.26814471150341,74.557266969025,42.06196652405001,53,2229.284225774651,42.06196652405002,2.0194839173657902e-28,42.06196652405001,42.06196652405001,20,635.9741735861116,31.798708679305584,158.00169238156283,42.061966524050035,16.403821912188903,str_m1_o1_o2_pcu_sym.101,pcu
55,2677.721311267432,48.68584202304422,450.19687673281203,115.7825496529,41.97163433105317,176,2224.6056438999562,12.639804794886116,370.77461516097577,41.99036612067442,2.4022028810577467e-10,94,645.7792783473933,6.86999232284461,204.5391733968399,41.96993697271574,1.3642420526593924e-11,str_m1_o1_o3_pcu_sym.57,pcu
55,2301.8283531996867,41.85142460363067,0.03120071842080877,42.409986167025,41.794819120915776,176,2208.678427060861,12.549309244663982,365.4694315858999,41.76379047169958,1.1521746273501776e-05,128,608.7325576878313,4.755723106936182,151.25786021277474,41.585244888397085,1.069469047365601e-05,str_m1_o1_o4_pcu_sym.165,pcu
